,LIMIT_BAL,PB1,PB2,PB3,PB4,PB5,PB6
101,380000,-304,-33481,31304,31694,32314,29056
102,480000,405991,375649,462432,487066,453145,445761
103,50000,42931,40892,37345,31656,22482,23190
104,60000,56685,50208,56664,60212,52447,52305
105,70000,5580,0,0,0,-26529,24529
106,80000,3247,-418,-42,2169,0,115
107,350000,-1559,1550,-145,-283,-4113,252
108,130000,160530,178382,-93717,115917,-89714,121772
109,360000,-103,-103,-103,-103,-103,-103
110,330000,96619,108431,102001,101796,90697,107289
111,50000,11244,13722,14181,14928,15671,16393
112,280000,129173,138532,120559,129551,152174,144415
113,100000,50128,50015,51401,50996,57100,57680
114,50000,17675,17989,19559,19556,19587,19273
115,30000,18199,16306,15631,21319,19692,20201
116,240000,0,0,-5350,5200,150,-200
117,80000,12029,13793,15630,16055,16629,17186
118,400000,9983,-2201,4028,-6998,6878,2247
119,240000,48254,48445,50015,51172,104,640
120,50000,45004,41941,47953,47451,46518,51143
121,450000,0,0,0,0,0,0
122,110000,0,0,0,0,0,0
123,310000,291972,300115,297907,250011,239658,192902
124,20000,17711,17832,18698,18517,19404,15630
125,20000,0,0,0,0,0,0
126,200000,106583,95945,95349,97066,99477,101209
127,180000,159081,113732,97211,93624,95536,94927
128,50000,2347,2833,3203,3847,5175,6943
129,60000,58017,61443,56044,27653,28410,25047
130,30000,-1645,2137,3481,-13798,7833,2882
131,240000,-2527,-679,3301,2804,-1377,813
132,420000,243710,238190,221446,213121,203353,176782
133,330000,219179,220624,221619,219412,219384,220003
134,30000,26452,24745,26712,24850,17603,-2340
135,240000,9174,10235,13681,12269,14158,13564
136,150000,14944,16342,19000,21614,23700,25229
137,210000,5666,6497,7792,8689,2404,5162
138,50000,452,-5580,5880,0,0,0
139,50000,48441,48443,48586,18530,18505,16865
140,240000,0,0,0,0,0,0
141,180000,1832,-416,500,-168,-3084,-416
142,50000,9131,833,20183,19296,19079,17465
143,170000,2159,0,0,17,-5880,5846
144,20000,-14387,15242,-1996,-2362,6363,9
145,50000,3999,4413,5315,7612,9524,10138
146,170000,17608,19113,20501,17202,17736,9100
147,200000,189236,171192,37569,130668,127233,51375
148,80000,7518,10522,10205,9519,8032,12033
149,260000,-1100,-23600,21400,-969,-31,869
150,140000,83172,75032,63336,64648,56219,52649
151,80000,12444,52744,37476,33087,39951,17826
152,350000,-2698,1906,370,630,0,0
153,280000,200733,175650,127120,1783,170145,162990
154,30000,7314,8906,10427,10435,11584,12706
155,140000,18944,23049,20188,38129,44086,43195
156,200000,101420,99620,86393,87438,88945,89031
157,200000,188731,189035,181844,160963,141975,117824
158,210000,105307,112426,118769,126199,133855,143627
159,50000,12854,10762,12947,12927,13111,13483
160,30000,20857,27453,24518,28168,26379,27071
161,50000,0,-390,564,-648,1080,150
162,290000,838,0,-396,792,-27,54
163,250000,123229,156858,146372,147147,149186,156300
164,60000,18148,22303,23408,25034,25155,26256
165,110000,96140,100895,101855,71837,73058,74454
166,370000,-9290,6926,-7209,10606,-8661,8754
167,100000,99183,96847,57494,27938,22967,-50246
168,90000,68612,70354,71874,67317,81852,88290
169,50000,26530,27650,28384,26720,27041,28239
170,270000,32695,31397,27534,23598,23344,22641
171,300000,-2600,3280,-4340,1668,1872,54
172,50000,-6433,14273,11501,7457,-1885,-2275
173,50000,-709,-709,-709,-2898,-3272,-3272
174,360000,0,-77,77,0,0,0
175,130000,61617,62978,64282,63057,72796,71345
176,80000,5683,-400,-400,938,-1581,5380
177,50000,48860,46301,47363,28221,22877,20361
178,20000,14789,11421,12721,11630,12534,13906
179,80000,72083,80811,79650,61067,9662,11486
180,240000,-2788,26578,23331,26605,25023,-64679
181,80000,37108,5912,11873,15364,14770,15460
182,500000,-13588,80259,80340,102967,56651,50064
183,60000,55524,56291,45839,17971,18586,17395
184,20000,9442,10084,12469,12145,-209,1620
185,100000,14483,12361,13823,16268,14868,14948
186,360000,-54471,51782,-63167,54556,-2369,-22073
187,200000,191222,195947,187136,189052,200162,183079
188,130000,-5396,396,6770,13075,12864,12636
189,20000,21703,20087,21461,20835,19459,20487
190,310000,49881,56116,52045,60847,55327,39105
191,60000,18283,18683,19669,23005,21599,22027
192,180000,11187,199,0,-17227,16886,11928
193,180000,-23197,22087,21082,10200,0,0
194,50000,45790,17114,16250,-514,-928,-19353
195,50000,34266,35788,35980,36930,37628,40035
196,150000,0,0,-116,116,-1500,1500
197,20000,17053,18414,18524,-11668,18175,18247
198,500000,274,-2161,1048,45,55,-14665
199,30000,28010,29171,26408,29732,1630,0
200,180000,750,0,0,0,0,0
201,140000,2123,27299,14985,12425,27407,8333
202,140000,3424,4999,7160,-7688,13019,-6517
203,120000,102314,105578,109584,111000,114131,117135
204,360000,217330,224578,228392,184611,167957,142411
205,20000,-22132,19046,18979,17880,15993,17637
206,100000,-1083,1083,0,0,390,-2380
207,210000,1502,1243,-3420,2886,877,-419
208,80000,78425,78554,77561,47552,47709,47768
209,330000,4527,1483,1152,1690,-1709,1451
210,220000,100607,103867,103217,8303,-85632,85632
211,210000,0,-250,250,-666,-433,-8394
212,40000,36557,37397,36903,34707,31638,30339
213,30000,25311,25799,18388,11992,5736,7884
214,470000,283573,292319,307843,469494,294307,299592
215,30000,0,0,150,-1230,1320,780
216,240000,-946,-946,-946,-946,-946,-946
217,80000,76178,75001,75134,77016,72735,75245
219,310000,-3118,4416,126,0,0,0
220,360000,93167,115468,106257,109690,113345,115538
221,330000,322808,322576,323411,321410,323547,318443
222,300000,279600,288262,188629,203827,198907,197508
223,320000,81611,75205,106480,63837,38760,29509
224,50000,52626,51513,47705,29394,29048,-635
225,170000,123840,126339,106400,120694,122403,123877
226,350000,579,822,1295,569,0,0
227,20000,14846,13511,18239,18092,17816,18393
228,50000,47357,46202,42112,20543,19359,17854
229,20000,19154,16832,16733,7530,1730,-3200
230,50000,32994,33794,29935,19182,9374,919
231,20000,20235,15932,15856,16875,12454,104
232,50000,102800,0,-2624,-42943,43820,44557
233,190000,124801,126383,124379,142323,128002,147283
234,60000,56697,35069,19934,19973,19364,18822
235,80000,4005,-2876,5129,341,-18564,17524
236,150000,122902,108305,49981,43176,35823,26968
237,210000,1440,-7422,6529,-5189,3789,-1006
238,240000,224089,222519,206634,199642,202366,206980
239,140000,16346,19708,20742,18068,13409,13984
240,60000,21501,20650,0,0,-2285,2285
241,50000,45374,45974,45630,48803,28789,13874
242,50000,24855,25974,27776,26790,27590,28299
243,180000,318,5853,2821,-2821,2821,-176
244,30000,-213,95,139,19,-41,19
245,20000,18215,18193,17988,19575,0,0
246,250000,51243,95,526,-4562,4778,-390
247,100000,35979,32658,28936,29187,28574,32904
248,330000,43636,41774,43083,51063,38427,22792
249,50000,34152,14124,15512,15807,15765,15484
250,50000,49157,51350,47663,28113,27522,26995
251,30000,24236,28263,28304,24300,22001,0
252,140000,96185,100159,101176,101440,103914,103524
253,160000,63201,45779,27052,-92447,87069,74426
254,400000,16405,2250,-3515,3039,-598,1624
255,50000,26134,27120,28361,28934,28509,27652
256,140000,-79,158,-493,225,-20231,20014
257,160000,5562,-7427,-42948,51026,5123,2210
258,100000,62170,0,0,0,0,0
259,220000,200380,204502,195852,163615,166169,156902
260,510000,38321,79320,102686,98775,61900,-28261
261,50000,47674,33700,29563,24693,28068,21991
262,160000,-191,-1305,-12972,18941,3926,10736
263,230000,-49032,50815,0,-299,-39,338
264,80000,9857,-5746,5798,-1456,-15228,12872
265,150000,6156,0,-316,0,0,0
266,10000,5840,6540,8524,8335,9729,9236
267,130000,84903,88267,70567,49093,27465,27500
268,40000,33271,32849,32134,33086,33262,34173
269,50000,11994,14880,13816,13467,11705,1224
270,100000,67968,29541,20358,17706,18839,16111
271,120000,1082,-718,1350,900,450,-450
272,260000,0,0,0,0,0,0
273,200000,9253,11530,12024,12512,15125,8905
274,360000,0,0,0,0,0,0
275,70000,64216,56624,65108,27163,11310,13085
276,460000,-2557,2715,-2667,2641,-22555,22535
277,50000,840,0,0,0,0,0
278,50000,48852,48263,49963,19339,19364,19006
279,250000,99109,98094,92109,95029,95871,96899
280,30000,512,1794,-836,1814,0,0
281,270000,117480,104027,82480,25370,640,12383
282,180000,156213,147061,143469,118591,100692,66993
283,100000,49321,49656,50575,47336,52831,53265
284,230000,190126,83743,87195,89814,94182,93457
285,210000,68360,20112,1798,3905,15585,-19191
286,210000,57226,60778,60769,60683,61663,44047
287,440000,172031,174650,146217,109335,101279,94921
288,100000,67424,69586,68125,67729,67758,49806
289,240000,7456,8900,9605,9765,10765,3311
290,280000,0,573,-573,573,325,-684896
291,50000,0,0,0,0,0,0
292,30000,600,2610,1614,2182,1400,2566
293,10000,3508,10227,9060,9531,9570,9482
294,130000,0,0,0,0,0,-1500
295,200000,185353,189879,181577,128541,128493,128690
296,120000,1029,-1662,756,1423,-1820,-676
297,210000,136742,137914,138415,142290,143449,126929
298,280000,56228,57325,61925,28601,29072,28771
299,300000,0,-13001,13001,-6994,19392,203
300,100000,95719,95890,64871,64561,64299,62208
301,440000,0,0,0,0,-162000,0
302,50000,47541,50007,11104,11898,12687,13458
303,20000,9168,14564,23820,14124,14761,10510
304,200000,206,-295,-2948,3228,584,4534
305,110000,-2788,-2684,5704,-1744,1848,400
306,500000,-13479,23956,-8500,3910,4590,0
307,300000,-5215,5215,0,0,0,0
308,30000,8520,9413,9339,11341,12336,13014
309,60000,7038,-782,9477,4616,-13284,11736
310,400000,2697,2246,-3968,5316,2717,-7008
311,180000,136301,141333,142042,122914,125331,127745
312,20000,7934,10638,16567,7411,11557,14340
313,200000,52439,45040,56205,49723,56371,56983
314,100000,54103,51271,33215,28131,16671,6241
315,60000,47537,31282,33694,16468,15808,18730
316,110000,45619,46447,48330,48794,49675,51452
317,260000,-165,-361,74,55,-88,26
318,50000,44768,50954,28446,28712,29035,24229
319,180000,-2,-2,-2,-2,-2,-2
320,110000,55862,56598,49908,46647,46008,45969
321,340000,151075,174679,161281,149779,142913,53263
322,50000,329,941,199,4999,7078,7085
323,230000,24651,17726,100,1333,-5406,5173
324,360000,83029,87054,81834,85631,90123,90738
325,210000,0,-38013,35013,35555,42075,34056
326,220000,325,650,-625,950,150,0
327,60000,21098,27976,23513,30184,28266,28934
328,340000,5731,36344,6110,-22409,17183,-69779
329,150000,94655,102586,91964,100975,102947,105228
330,200000,-1179,505,-6711,-17227,6209,14393
331,130000,6559,12394,11383,9326,7467,12185
332,60000,10540,8749,10564,1427,9433,24857
333,400000,0,0,0,-1600,-76788,78388
334,20000,19248,17489,18828,18753,18434,18492
335,190000,137669,139535,146260,147785,150294,154496
336,260000,146882,152246,153988,151114,151762,153108
337,140000,390,0,0,0,0,0
338,50000,44538,43310,48614,29856,29032,28123
339,120000,-6018,1494,5213,-230,-2470,-1207
340,240000,0,0,92,-92,92,-1883
341,50000,4704,4972,4123,-298,978,978
342,200000,2393,-4689,-15336,15183,24815,23248
343,180000,263731,136713,216063,122295,-102010,-893
344,180000,139963,133181,126718,101788,103998,102489
345,160000,3097,-707,-7697,-2697,4682,-11346
346,100000,-2840,33,3159,2462,-20,2455
347,50000,44081,47316,48409,43545,37963,39145
348,140000,131519,131450,135154,134379,135748,137174
349,30000,16482,17490,19502,19427,20081,18844
350,90000,37587,16273,1940,1940,-23101,20101
351,200000,-24504,-60558,3432,-7684,-100000,-8614
352,380000,0,0,0,0,0,0
353,80000,73880,75502,55501,49351,18341,18532
354,50000,12499,18720,17122,17529,18455,18218
355,180000,26198,26422,28550,28781,28919,29627
356,240000,134966,123106,120356,109133,110141,99840
357,380000,185304,144206,188992,168675,166253,164721
358,110000,80755,74531,76144,77631,78833,80462
359,260000,49366,-50767,15362,-31688,33748,0
360,500000,497726,509229,485936,489007,468612,400643
361,320000,68716,68583,69459,70188,71593,72110
362,50000,45734,44741,42300,42681,43733,24185
363,110000,0,-2066,2066,1784,0,150
364,230000,461,-99,-266,89,-37,93
365,330000,-1538,13,1488,-3965,-4711,8292
366,50000,44166,47159,49501,22319,21171,23735
367,10000,2887,423,2989,2813,1858,2132
368,300000,0,0,0,0,0,0
369,20000,20631,18842,19319,10694,10286,10369
370,180000,83538,0,0,0,0,0
371,160000,-2878,-12109,5963,-4450,-16684,-28288
372,90000,32662,26089,43449,34451,49718,46767
373,30000,20487,20298,20852,19221,22339,25943
374,180000,165167,169291,171928,101248,-132630,171719
375,30000,17503,18468,20314,20695,20800,20476
376,30000,20518,18559,19959,17309,25183,23242
377,140000,-3167,10591,2618,1391,-2100,-255
378,210000,66437,68906,41308,40584,44842,39888
379,50000,18526,12129,14766,6577,8139,7487
380,130000,84855,88205,68347,69693,71174,69605
381,50000,394,2800,3181,3059,1448,2015
382,140000,97594,48372,87502,86859,85216,85150
383,170000,1843,1945,5646,5168,5077,5794
384,80000,12609,30220,27344,25280,0,-6305
386,80000,-80000,80000,0,0,0,0
387,80000,59644,61301,65375,67146,69370,69918
388,150000,145349,147549,150823,153953,157166,152425
389,260000,840,-291,582,291,-130291,-360
390,350000,0,0,0,0,0,0
391,280000,-39933,33918,36167,36232,31570,28316
392,310000,99397,87976,84709,73218,69089,68967
393,140000,17110,14102,15862,16496,19214,19085
394,360000,13000,25000,0,0,0,0
395,140000,132428,134105,137952,136590,136650,137020
396,100000,38308,41453,41491,43011,42432,28947
397,50000,0,0,-848,848,-632,632
398,210000,100699,101134,104923,88143,80033,69125
399,120000,116291,120822,101615,111313,119311,112767
400,240000,151129,128991,97102,62354,-156125,178822
401,60000,39834,27697,27135,27165,26227,27064
402,150000,-627,1700,384,-2344,2344,350
403,30000,26105,27160,26760,24063,24578,23935
404,160000,152932,163916,148118,161093,170098,148146
405,200000,1168,-797,3410,0,-85900,81754
406,120000,20476,21393,0,0,0,0
407,500000,506737,476660,418500,364345,342523,292984
408,320000,44203,54661,48551,51868,43031,55200
409,280000,158382,167646,174279,176455,162452,161695
410,60000,29332,25868,29205,30201,31049,31765
411,200000,190,0,-367,217,-150,-150
412,230000,0,-2809,-1797,3803,-2612,3404
413,230000,13668,11583,12712,10283,8218,427
414,480000,-11867,-173317,190927,-10338,-3222,20593
415,50000,17500,5000,0,0,0,-640
416,200000,-10323,13743,1097,0,-160,-943
417,50000,12811,14662,16086,15895,19450,17990
418,50000,40709,39716,33639,16753,17091,17048
419,260000,0,0,0,0,0,0
420,30000,23765,24554,26703,25459,30002,27571
421,440000,161590,158178,151507,150964,151935,145926
422,230000,7442,1445,979,-2609,2980,-2213
423,200000,100478,105924,99163,93590,89045,105253
424,490000,182586,190824,194360,199495,190269,184306
425,80000,11262,0,0,0,0,0
426,20000,6551,10581,13087,9460,13827,15414
427,170000,0,0,-199,398,0,-199
428,70000,66519,66890,66001,933,27622,28795
429,210000,206601,173446,114362,114766,65791,63167
430,90000,88694,68432,70241,71423,73070,74548
431,390000,291860,289386,290385,281869,282373,274826
432,110000,45623,47037,48422,48990,49957,50706
433,580000,153338,155624,160176,163359,162861,162018
434,360000,3195,-8969,15456,1770,0,0
435,270000,224752,225036,229286,201644,215690,221413
436,60000,14072,0,-300,300,0,-50
437,110000,59507,60299,59862,58405,57972,57845
438,50000,48544,47223,45677,44221,20599,20155
439,80000,73812,71681,56850,-2358,44435,45410
440,50000,0,-50,-1295,-9605,12160,10184
441,100000,79831,81549,80789,87951,93381,86322
442,30000,0,-945,945,-197,-2798,2995
443,200000,117219,118723,122355,110878,107180,120393
444,240000,234109,222433,227157,192643,186410,191857
445,220000,35704,31804,28154,23875,19729,15102
446,160000,141933,103204,86902,88583,79755,81488
447,180000,44862,-28106,29312,5400,-1599,1599
448,200000,33564,36761,30297,28884,30900,-2102
449,140000,91799,85101,82227,62790,58548,53680
450,380000,0,0,0,0,0,0
451,600000,467150,440862,453703,431130,419982,414715
452,260000,241691,257714,-93362,115388,121402,125074
453,200000,156607,-1264,0,0,572,-1144
454,80000,75629,-23230,76753,47540,47119,46743
455,40000,38007,35342,17130,14819,5285,328
456,130000,71034,63329,74175,66383,77217,69820
457,50000,22174,22231,24026,25775,0,0
458,230000,-17344,12509,-7414,1177,-2145,2576
459,70000,48827,38666,31517,17630,3330,1810
460,180000,146853,141279,154019,118022,121075,121219
461,80000,-6949,2915,2722,1720,-6608,5670
462,290000,-59193,96860,96985,-20458,22325,-3452
463,230000,-89952,123221,107490,95273,91717,93116
464,170000,0,-1991,1991,0,-150,-464
465,230000,200923,199054,196713,194211,192155,184726
466,220000,203886,203543,203759,211812,161743,158291
467,230000,26504,26782,24345,21419,19240,19331
468,500000,49346,42436,-576,17568,43190,49349
469,90000,2884,-2972,5883,-2563,2200,-692
470,390000,341413,346800,364288,242966,247496,253583
471,400000,352173,359105,369705,189984,146066,149170
472,180000,137,1650,-1004,964,-202,-1058
473,60000,27495,28821,29018,29493,32713,35002
474,120000,1476,2682,-6440,6440,-5930,810
475,60000,25299,26958,27937,28514,29391,22739
476,50000,49093,27027,28041,27310,27940,28638
477,70000,64241,62250,72972,69466,48625,48109
478,500000,600,-201,201,-300,300,-150
479,200000,0,0,0,0,0,0
480,250000,-75111,132666,90801,-1069,1069,-66700
481,140000,114367,146193,128802,143485,135119,124871
482,70000,39152,40599,37129,31140,6736,4162
483,90000,75904,69317,69734,65409,61728,55292
484,100000,782,1135,18,-1750,-256,451
485,190000,169954,174330,168777,126637,111467,113948
486,230000,-8246,1946,13165,-10500,3508,6992
487,320000,90451,88017,87361,86193,86757,94385
488,220000,-1252,856,792,0,0,-396
489,260000,10149,1425,523,-529,1768,-5211
490,90000,416,0,0,0,0,0
491,30000,27403,26620,22414,24368,19959,18833
492,260000,94560,89080,221895,106721,66497,67171
493,170000,24304,17308,308,0,0,0
494,80000,7371,8387,9790,9632,10106,10214
495,50000,-492,282,-774,170,-420,-680
496,200000,195662,195961,187449,189686,192526,191617
497,20000,9037,20417,17513,17823,29077,19560
498,250000,66,0,-120,114,-1651,1639
499,20000,14289,13356,19815,20705,19455,19083
500,30000,18344,20205,20537,22661,25128,23376
501,90000,23132,16474,28067,22820,31199,28548
503,130000,17161,17544,22704,22304,22304,0
505,160000,0,0,396,-793,-428,1220
506,500000,3959,-285138,280149,249345,222631,-528466
507,180000,39738,36741,35568,33313,37893,32661
508,80000,19807,11807,13797,9914,10685,5015
509,120000,884,0,-10446,10446,0,0
510,130000,0,0,-150,481,930,-390
511,120000,0,0,0,0,0,0
512,360000,-33005,48965,2228,-1110,-48213,47318
513,50000,27509,29241,30138,30624,31366,31581
514,20000,15455,20249,18957,16037,14729,13242
515,100000,91880,-35302,83618,76128,76397,79603
516,70000,65679,64329,66578,65642,67134,65784
517,50000,10917,11695,19320,17996,18324,18939
518,10000,10250,6432,10135,9722,9427,8697
519,290000,87844,90708,98066,97864,103151,108297
520,30000,14899,15916,17712,17744,18291,18195
521,410000,-33107,16991,27765,25535,47408,56070
522,360000,820,-74900,2124,108984,-25616,-41443
523,140000,105474,109112,64517,65692,67781,61735
524,210000,64174,66289,68337,68861,70805,71827
525,220000,-11558,12817,-1398,1831,-2891,-150613
526,20000,18649,16472,18040,17840,20759,19941
527,620000,160837,150639,154440,157781,160659,164894
528,360000,-8,-8,-8,-1693,-936,2600
529,20000,4353,14410,13743,-21711,5308,0
530,50000,31713,17352,6334,16665,10322,18575
531,50000,95084,47599,16738,16907,17406,17665
532,10000,1673,6394,5272,6908,6408,6534
533,100000,51799,47530,59074,62470,58698,60024
534,50000,-657,619,526,-404,1620,0
535,60000,-1195,-825,3052,-4247,2825,3765
536,440000,317659,326794,264075,243584,209447,173721
537,120000,86590,85092,80028,57186,51242,46775
538,50000,2257,4166,0,-318,318,0
539,110000,92038,83605,92068,93304,95005,97413
540,200000,399,0,0,-218,-52,-47
541,150000,0,0,0,0,-318,318
542,30000,28778,27039,28286,26433,27089,27305
543,100000,28539,25486,30091,14974,-14796,29097
544,360000,2339,-3774,14127,9785,-1976,-2088
545,390000,45620,40220,41237,44495,42751,46941
546,220000,-65,-65,-65,-65,-65,-200
547,160000,0,0,0,0,0,0
548,230000,-4954,4791,6752,11608,797,18539
549,120000,47413,45473,40087,31424,26760,27714
550,100000,3157,5068,5418,6781,4144,5638
551,190000,28204,-16500,16500,-26854,26354,554
552,50000,48215,49573,27085,26842,28899,28960
553,240000,-6370,6370,0,0,0,0
554,40000,33285,35114,35955,36577,36924,35504
555,630000,-337,66980,-1425,-6022,8654,-4981
556,160000,-168,3564,1474,200,-49,-946
557,110000,54299,68765,75316,76629,78503,80206
558,20000,15153,18419,0,0,0,0
559,210000,54392,55719,57258,58211,56826,65163
560,270000,-6226,6270,9115,4164,-12466,13211
561,360000,-1591,2113,-1011,51,944,-792
562,60000,-2159,1032,1342,0,-3224,2910
563,360000,100346,103197,58146,58723,60108,-39622
564,390000,833,-1538,-8630,4233,2116,2695
565,250000,-1270,6721,-5001,4303,-8746,-2325
566,90000,11541,13026,12482,13219,21717,22623
567,360000,5561,-3174,-7028,385,3892,-9851
568,50000,33892,28679,29441,19284,18448,18884
569,270000,17751,5706,0,0,0,0
570,200000,47394,3433,-192,-14496,19468,-125
571,50000,47769,47598,36739,17815,17305,18013
572,350000,370,10478,-22,-22,-4576,4532
573,160000,-2028,4067,1089,-2688,2168,1009
574,80000,-1274,2351,831,-5305,-837,-389
575,290000,266610,271824,272243,275857,247592,229720
576,270000,0,-5216,-28309,23526,42565,33888
577,80000,-7653,23909,4226,4082,-3547,4085
578,50000,3897,4915,5615,6631,6487,5980
579,30000,5110,-6078,5372,1337,2000,0
580,30000,-780,780,0,0,0,0
581,90000,20630,23670,22222,20668,30149,31912
582,160000,-2324,-26602,29214,-20600,12016,3462
583,80000,73766,75580,76505,57952,58556,52022
584,50000,48100,49298,47411,47243,45775,0
585,20000,13003,14361,15794,15123,18056,16818
586,220000,0,0,0,0,0,0
587,210000,-14959,23634,12145,8070,-429,-5977
588,130000,124875,124931,131678,44265,45180,46090
589,260000,-17353,-26806,50861,50033,-1635,-20264
590,230000,25341,20981,-41748,63840,54538,41522
591,160000,79255,79988,81961,82415,83348,84513
592,50000,33849,4944,13715,6857,1637,8839
593,80000,46602,44111,42980,36341,40379,33050
594,110000,54019,55151,56757,57394,58630,59759
595,200000,139588,135790,131428,130409,129627,129407
596,360000,258683,254630,252952,248678,238389,242944
597,210000,0,0,0,0,0,0
598,80000,75994,72254,53683,56386,57735,55064
599,300000,-10475,5191,4606,-465,-62605,54593
600,310000,21970,22803,24268,24197,24423,24707
601,30000,0,0,0,0,-930,1320
602,170000,16539,16731,18256,17084,17386,12569
603,140000,23443,28823,27247,26670,30454,26930
604,180000,0,0,0,0,0,-1576
605,50000,22746,19399,24121,21237,25101,23519
606,50000,7863,8859,7200,7500,0,0
607,110000,38882,30428,34680,44097,40543,30189
608,450000,-5124,592,8528,-6368,3368,-238
609,200000,0,0,-171,171,0,0
610,220000,43171,-7170,392,5320,-19570,33150
611,360000,3280,0,0,0,-2650,2650
612,50000,46226,47043,44627,44755,41686,42573
613,40000,36650,28106,25235,25717,24540,29551
614,190000,109049,112856,119570,107284,119528,120478
615,150000,19624,21968,22355,24021,23640,-5076
616,200000,0,0,0,-595,595,-2370
617,270000,132807,118769,100424,102151,105294,97251
618,60000,56821,51335,36533,38139,37719,37140
619,200000,77518,76012,68192,69070,68279,68098
620,150000,33146,33184,34511,30580,28223,29561
